cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
BSPRY	CCDC127	C4orf19	ATP1A2	CTBP1-AS	CDK5RAP2
BTBD3	CCDC13	C4orf33	ATP1A3	CTD-2194D22.4	CDKN2AIP
BTG2	CCDC130	C4orf47	ATP1B3	CTNNA1	CDKN2B-AS1
BTG3-AS1	CCDC148	C4orf50	ATP23	CTRC	CDKN2C
BUB1B-PAK6	CCDC155	C4orf51	ATP2A1-AS1	CTSW	CDNF
BZW2	CCDC157	C5-OT1	ATP5F1A	CTTNBP2	CDR2
C10orf53	CCDC159	C5orf22	ATP5F1B	CTXND2	CDV3
C10orf67	CCDC162P	C5orf34	ATP5F1E	CUL4B	CEACAM22P
C11orf42	CCDC166	C5orf47	ATP5MC1	CUL9	CEBPZ
C11orf52	CCDC167	C5orf56	ATP5MC2	CWF19L2	CECR7
C11orf54	CCDC179	C5orf66	ATP5MD	CWH43	CELA2B
C11orf68	CCDC180	C6orf136	ATP5ME	CXADRP2	CELA3B
C11orf95	CCDC189	C6orf52	ATP5MF	CYLC2	CELF2-AS2
C14orf93	CCDC196	C7orf26	ATP5MG	CYP11B1	CENPF
C15orf56	CCDC22	C8orf34-AS1	ATP5PD	CYP2R1	CENPN
C16orf47	CCDC26	C8orf49	ATP5PF	CYP3A5	CENPQ
C16orf54	CCDC27	C9orf147	ATP6AP2	CYP4X1	CENPW
C17orf82	CCDC3	C9orf40	ATP6V0A2	CYTH1	CEP72
C17orf97	CCDC33	C9orf78	ATP6V0E2	CZ1P-ASNS	CEP85L
C18orf15	CCDC42	CA13	ATP6V1C2	DACH1	CEP95
C18orf54	CCDC50	CAAP1	ATP6V1E2	DACT3	CERNA1
C19orf12	CCDC60	CABYR	ATP6V1G1	DAOA	CERS5
C19orf24	CCDC61	CACNA1A	ATP6V1G2	DAPK3	CETN1
C19orf33	CCDC63	CACNA1D	ATPAF1	DCAF15	CETN4P
C1orf105	CCDC65	CACNA2D2	ATPSCKMT	DCAF8	CFAP157
C1orf115	CCDC81	CACNA2D3	ATRAID	DCTN1-AS1	CFAP20
C1orf122	CCDC89	CACNG6	ATRIP-TREX1	DCUN1D1	CFAP70
C1orf61	CCDC92	CACTIN-AS1	ATXN10	DCX	CFAP97
C1orf68	CCDC96	CADPS	ATXN8OS	DDHD2	CFDP1
C1QTNF3-AMACR	CCDC97	CAHM	AUH	DDX11	CFHR3
C1S	CCHCR1	CALCR	AUP1	DDX11L9	CFI
C20orf173	CCKAR	CALM1	AURKAP1	DDX12P	CFL2
C20orf202	CCL17	CALM2	AURKB	DDX42	CFTR
C20orf204	CCL20	CAMK1D	AVL9	DDX60L	CGAS
C20orf78	CCL22	CAMK2A	AVPR1A	DENND1A	CHD1
C22orf46	CCL25	CAMK2G	AXL	DENND4A	CHL1
C2CD2	CCM2L	CAMK4	AZGP1P1	DGKB	CHM
C2CD4C	CCNB2	CAMLG	AZIN1	DGKD	CHML
C2orf66	CCNB3	CAMSAP1	AZIN1-AS1	DHX40	CHMP1B2P
C2orf72	CCNH	CAMTA2	B2M	DHX8	CHMP5
C3orf18	CCNI2	CAND2	B3GALT5	DIPK1A	CHP2
C3orf35	CCNL2	CAPN10	B3GALT5-AS1	DISP2	CHRM4
C3orf85	CCNO	CAPN11	B3GAT1	DISP3	CHRNA10
C4BPB	CCNT2-AS1	CAPN7	B3GAT3	DKFZp451B082	CHRNA6
C4orf48	CCSER1	CAPRIN2	B3GNT10	DKFZP586I1420	CHRNB1
C4orf54	CCZ1P-OR7E38P	CAPS2	B3GNT4	DKK2	CHST5
C5orf17	CD200R1L-AS1	CAPZA1	B3GNT8	DLD	CHTOP
C5orf24	CD28	CARMIL1	B4GALNT4	DLK2	CIB3
C6	CD302	CARNMT1	B4GALT2	DLL1	CILP
C6orf132	CD37	CASC1	B4GALT3	DLST	CITED1
C6orf222	CD38	CASC17	B4GALT4-AS1	DLX1	CKAP2L
C6orf223	CD5	CASC21	B4GALT7	DLX6-AS1	CKM
C6orf99	CD55	CASC3	B4GAT1	DMP1	CKMT2-AS1
C7orf31	CD59	CASC8	BABAM1	DMRT2	CKS2
C8G	CD80	CASD1	BABAM2	DNAH2	CLC
C8orf31	CD83	CASP12	BABAM2-AS1	DNAH5	CLCA1
C9orf106	CD8B2	CASP6	BACE2	DNAH7	CLCF1
C9orf131	CDA	CASP8AP2	BAD	DNAI2	CLDN20
C9orf153	CDADC1	CASS4	BAG1	DNAJA2	CLEC12B
C9orf47	CDC20B	CAST	BAG2	DNAJC21	CLEC1B
C9orf62	CDC25C	CASTOR1	BANCR	DNAJC27	CLEC2A
CA12	CDC42EP5	CATSPER2	BANF1	DOK6	CLEC2B
CA2	CDC42SE1	CATSPERD	BAX	DOK7	CLEC4M
CA3-AS1	CDC42SE2	CAVIN2	BAZ2B	DPP3	CLECL1
CA4	CDCA4	CBFA2T3	BAZ2B.1	DPY19L3	CLHC1
CA8	CDCP2	CBFB	BBS1	DPY19L4	CLIC2
CABIN1	CDH13	CBLL1	BBS2	DROSHA	CLK4
CABP4	CDH15	CBR4	BBS7	DSC3	CLP1
CACHD1	CDH20	CBX1	BBX	DTL	CLRN1-AS1
CACNA1B	CDH22	CBY1	BCAN	DTWD2	CMPK1
CACNA1G-AS1	CDH26	CCAT2	BCAP31	DTX2P1-UPK3BP1-PMS2P11	CMYA5
CACNA2D3-AS1	CDH8	CCBE1	BCAR1	DUSP16	CNEP1R1
CACNB1	CDHR2	CCDC102B	BCAS2	DYNC1LI2	CNFN
CACNB3	CDK20	CCDC114	BCAS4	DYSF	CNGA3
CACNG2	CDK5	CCDC117	BCHE	E2F1	CNIH1
CACNG4	CDK5RAP3	CCDC121	BCKDHA	EBF3	CNKSR3
CAD	CDK7	CCDC13-AS1	BCKDHB	EBLN2	CNPY4
CADM1	CDKL1	CCDC137	BCKDK	EDNRA	CNST
CADM3-AS1	CDKL3	CCDC138	BCL11A	EDNRB-AS1	CNTF
CALHM1	CDKL4	CCDC140	BCL2	EEA1	CNTN4-AS1
CALM3	CDKL5	CCDC146	BCL2L1	EFCAB13	COA6
CALML3-AS1	CDPF1	CCDC15	BCL2L12	EGR2	COA6-AS1
CALML5	CELA1	CCDC160	BCL2L14	EIF1AX-AS1	COL24A1
CALY	CELA2A	CCDC163	BCL7B	ELAC2	COL25A1
CAMK2D	CELF2-AS1	CCDC171	BCL7C	ELOA2	COL6A2
CAMP	CELF5	CCDC173	BCR	ELOA3	COL6A4P1
CAMSAP2	CELP	CCDC175	BEND3P3	ELOA3B	COL6A5
CAMSAP3	CEMIP	CCDC177	BEND4	ELOA3B.1	COQ10B
CAND1	CEND1	CCDC181	BEND5	ELOVL2-AS1	CORIN
CANT1	CENPO	CCDC186	BEND6	EMILIN1	CORT
CANX	CENPS	CCDC191	BEST1	EML5	COX16
CAPN15	CEP250	CCDC198	BEST2	EML6	COX19
CAPN2	CEP295NL	CCDC25	BET1	EN1	COX6B2
CARD14	CEP68	CCDC28A	BEX1	ENDOD1	COX6C
CARD16	CERCAM	CCDC39	BEX2	ENTPD3	COX7A2L
CARD17	CES4A	CCDC59	BEX3	EOGT	COX7B
CARD18	CETN2	CCDC6	BEX4	EPB41	COX7B2
CARD8-AS1	CFAP161	CCDC66	BEX5	EPB41L3	CPB2
CARD9	CFAP298	CCDC7	BFSP1	EPHB1	CPB2-AS1
CARMIL3	CFAP299	CCDC71	BICDL2	EPPIN	CPHXL
CARMN	CFAP43	CCDC73	BID	EPS15	CPM
CARS-AS1	CFAP46	CCDC77	BIRC5	ERMN	CPNE5
CATSPER3	CFAP53	CCDC87	BISPR	ERN2	CPT1C
CATSPERE	CFAP65	CCDC88A	BIVM	ERO1A	CPXCR1
CATSPERZ	CFAP74	CCDC88C	BIVM-ERCC5	ETV6	CRCP
CBFA2T2	CFAP99	CCDC91	BLACAT1	ETV7	CREBRF
CBL	CFD	CCDC93	BLMH	EVI5L	CREM
CBLB	CGN	CCND2	BLOC1S1	EXD1	CRIPT
CBLN3	CGREF1	CCNG2	BLOC1S1-RDH5	EXD3	CRISP2
CC2D1A	CH17-340M24.3	CCNJ	BLOC1S2	EXOC1	CRLF3
CC2D1B	CHAC1	CCNT2	BLOC1S4	EXOC5	CRNDE
CCAR1	CHCHD6	CCNYL1	BLOC1S5	EXTL3	CRP
CCAT1	CHD3	CCPG1	BLVRA	EYA1	CRTAM
CCDC102A	CHD7	CCR3	BLVRB	F9	CRTC3-AS1
CCDC116	CHDH	CCSER2	BMERB1	FABP9	CRYAB
CCDC124	CHEK2	CCT6B	BMF	FAIM2	CRYBB2
CCDC125	CHEK2P2	CCZ1	BMP7	FAM122B	CRYGC
CCDC134	CHFR	CCZ1B	BMS1	FAM135B	CSAG1
CCDC144B	CHIC2	CD109	BMS1P1	FAM157B	CSAG4
CCDC144CP	CHKB-DT	CD163	BMS1P1.1	FAM157B.1	CSE1L-AS1
CCDC152	CHMP7	CD164	BMS1P2-AGAP9	FAM169B	CSH1
CCDC32	CHRDL1	CD36	BMS1P2-AGAP9.1	FAM184A	CSNK2B
CCDC47	CHRFAM7A	CD82	BMS1P4	FAM186A	CSPG5
CCDC57	CHRNA5	CD8B	BMS1P4-AGAP5	FAM193A	CSRNP1
CCDC86	CHRNE	CD99	BNC2	FAM222A-AS1	CST11
CCDC9B	CHST13	CD99.1	BNC2-AS1	FAM30C	CST8
CCEPR	CHSY1	CD99L2	BOC	FAM47B	CSTA
CCIN	CHURC1-FNTB	CDC25B	BOK	FAM78A	CSTF3
CCKBR	CIART	CDC37L1	BOLA2-SMG1P6	FAM81A	CSTF3-DT
CCL14	CISD1	CDC40	BOLA3	FAM85A	CT45A10
CCL28	CISH	CDC42BPA	BOLA3-AS1	FAM86B1	CT47B1
CCL5	CKLF	CDC42BPB	BORCS7	FAM87A	CT55
CCL8	CKMT2	CDC42P3	BORCS7-ASMT	FAM90A1	CT83
CCND3	CKS1B	CDC45	BORCS8	FAM90A25P	CTAGE7P
CCNDBP1	CLCA4-AS1	CDC5L	BPHL	FAM90A26	CTC-338M12.4
CCNF	CLDN14	CDC7	BRD3OS	FAM90A27P	CTCF
CCNL1	CLDN34	CDCA2	BRD9	FANCI	CTDNEP1
CCNY	CLEC10A	CDCA8	BRF1	FAXDC2	CTDSP2
CCR1	CLEC16A	CDH17	BRF2	FBXL14	CTDSPL2
CCR2	CLEC4C	CDH18	BRICD5	FBXO24	CTNNBL1
CCR7	CLEC4G	CDH3	BRK1	FBXO3	CTRB1
CCR8	CLN8	CDH5	BRSK2	FBXW2	CTSL3P
CCRL2	CLSTN2	CDIP1	BSG	FBXW7-AS1	CTSS
CCT6P1	CLSTN2-AS1	CDK17	BSN-DT	FCF1	CTSV
CCT8L2	CLTCL1	CDK2AP2	BST1	FCGR2A	CTSZ
CD19	CLUH	CDK8	BST2	FCGR2C	CTXND1
CD2	CLVS1	CDON	BTBD1	FCN1	CUL2
CD207	CLYBL-AS2	CDS1	BTBD17	FEM1C	CUL3
CD22	CMC4	CDS2	BTBD6	FER	CWC15
CD274	CMPK2	CDYL2	BTC	FEZF1	CXCL10
CD2AP	CMTM1	CEBPG	BTD	FEZF1-AS1	CXCL11
CD2BP2	CNP	CELA3A	BTF3	FGD4	CXCL14
CD300E	CNPY1	CELF1	BTF3L4	FGD5P1	CXorf38
CD300LF	CNPY3-GNMT	CELF2	BTG3	FGF5	CYB561D1
CD300LG	CNTD2	CELSR1	BTN2A1	FGFR1OP	CYB5B
CD320	CNTNAP2	CEMIP2	BTN2A2	FLJ13224	CYBB
CD3E	CNTROB	CENPA	BTN2A3P	FLJ30679	CYCS
CD46	COASY	CENPC	BTN3A1	FLJ30901	CYLC1
CD47	COCH	CENPE	BTNL8	FLRT2	CYMP
CD48	COG4	CENPJ	BUD23	FMN1	CYP4F35P
CD52	COG8	CENPK	C10orf55	FMO3	CYS1
CD53	COL12A1	CENPL	C10orf88	FMR1	D2HGDH
CD5L	COL14A1	CENPP	C11orf1	FNIP1	DAGLB
CD69	COL22A1	CENPU	C11orf49	FNTB	DAOA-AS1
CD70	COL23A1	CEP104	C11orf58	FOXA1	DBF4B
CD81	COL28A1	CEP120	C11orf86	FOXB1	DBP
CD84	COLEC10	CEP152	C11orf87	FOXI2	DBR1
CD93	COLEC11	CEP162	C12orf10	FOXO1	DBT
CDC42BPG	COMMD10	CEP192	C12orf57	FRG2	DCAF10
CDC42EP1	COMMD3	CEP295	C12orf73	FRG2B	DCAF12L1
CDC42EP4	COMMD8	CEP350	C12orf75	FRG2C	DCAF13
CDCA3	COPS4	CEP44	C12orf76	FRG2EP	DCAF13P3
CDH1	COQ7	CEP57	C14orf132	FSBP	DCAF16
CDH11	CORO2A	CEP57L1	C15orf40	FSD1L	DCAF4
CDH19	CORO7-PAM16	CEP70	C16orf89	FSIP1	DCAF8L1
CDH7	COX17	CEP76	C17orf49	FTCDNL1	DCAF8L2
CDHR1	COX7A1	CEP78	C17orf58	FUT8	DCLRE1B
CDHR4	COX8C	CEP83	C17orf64	FUT8-AS1	DCST1
CDK13	CPA2	CEP85	C17orf75	FZD10-AS1	DCTN3
CDK16	CPA3	CEP89	C19orf25	FZD8	DCTN5
CDK19	CPA6	CERKL	C19orf48	GABRP	DDC
CDK6	CPLANE2	CERNA3	C19orf81	GALNT12	DDI2
CDKN1B	CPLX1	CERS2	C19orf84	GALNT13	DDIAS
CDKN1C	CPNE9	CETN3	C1GALT1C1	GALP	DDIT3
CDKN2A-DT	CPO	CFAP206	C1orf109	GAPT	DDN-AS1
CDKN2D	CPQ	CFAP221	C1orf116	GAPVD1	DDX18
CDRT8	CPSF4L	CFAP47	C1orf159	GAS5-AS1	DDX20
CDT1	CPXM2	CFAP52	C1orf198	GBP1	DDX21
CDX1	CRACR2A	CFAP54	C1orf216	GBP3	DDX24
CDX2	CRAMP1	CFAP58	C1orf35	GBP6	DDX3X
CDYL	CRAT	CFAP61	C1orf43	GCG	DDX3Y
CEACAM1	CRAT37	CFAP73	C1orf54	GCLC	DDX47
CEACAM6	CREB3L2	CFAP77	C1orf87	GCOM1	DDX5
CEACAM7	CRELD1	CFAP97D1	C1orf94	GDF5OS	DDX6
CEBPA	CRELD2	CFL1P1	C1QBP	GDI1	DEFB119
CEBPB	CRTC3	CHAF1B	C1QL2	GDI2	DEFB124
CEBPD	CRYBB3	CHAMP1	C1QTNF12	GFRAL	DEFB126
CEBPE	CRYZL1	CHCHD7	C1QTNF2	GGT6	DEFB4A
CELF3	CRYZL2P-SEC16B	CHD5	C1QTNF3	GH1	DENND5B
CELF6	CSMD1	CHD8	C1QTNF5	GIMAP1	DEPDC4
CELSR2	CSNK1A1P1	CHEK1	C1QTNF9B	GIMAP7	DEPDC5
CEMP1	CSNK2A3	CHERP	C1R	GIMAP8	DEUP1
CENPT	CSRNP2	CHIC1	C1RL	GINS1	DHDDS
CEP131	CSRP1	CHKB-CPT1B	C2	GJA9	DHRS7C
CEP164	CSRP2	CHMP2B	C20orf27	GLE1	DHX15
CEP170P1	CST2	CHMP3	C21orf58	GLG1	DHX34
CEP41	CST9	CHN2	C22orf15	GLIS3	DHX36
CEPT1	CSTB	CHRNA7	C22orf39	GLIS3-AS1	DHX9
CES1	CTB-178M22.2	CHST10	C22orf42	GLRA2	DINOL
CES1P1	CTC1	CHST15	C2CD4D-AS1	GLUD2	DIO2
CES3	CTD-2201I18.1	CHUK	C2orf27A	GLYATL1B	DIO3
CFAP410	CTNNA2	CIB1	C2orf74	GMEB1	DIP2A-IT1
CFHR2	CTNNB1	CIDECP1	C2orf78	GMFB	DIPK2A
CFLAR	CTNS	CIITA	C2orf80	GNA13	DIS3
CGA	CTU2	CIP2A	C2orf91	GNAO1	DIS3L
CGB3	CUBN	CIPC	C3orf52	GNB3	DIS3L2
CGB5	CUX2	CIR1	C3orf62	GNG13	DLEU2L
CGB8	CXADRP3	CIT	C3orf67-AS1	GNG7	DLEU7
CHCHD10	CXCL8	CKAP5	C4orf3	GOLGA6L5P	DLL4
CHCHD2	CXCR1	CLASP2	C4orf36	GOLGA8K	DLX2
CHCHD4	CXorf40A	CLCN3	C5orf15	GOLGA8Q	DLX2-DT
CHD4	CXorf40A.1	CLCN4	C5orf30	GOLM1	DMRT3
CHI3L1	CXorf40B	CLCN5	C6orf118	GON4L	DNAH8
CHI3L2	CXorf56	CLDN12	C6orf141	GORAB	DNAJA1
CHIA	CXXC4-AS1	CLDN18	C6orf163	GPATCH8	DNAJB1
CHKB	CYB561A3	CLEC4A	C6orf62	GPC5-AS1	DNAJB14
CHORDC1	CYB5A	CLINT1	C7orf50	GPC6-AS1	DNAJB3
CHP1	CYB5D2	CLIP4	C7orf57	GPD2	DNAJB7
CHRDL2	CYB5RL	CLK1	C7orf61	GPR107	DNAJB8-AS1
CHRM1	CYP20A1	CLK2	C8orf34	GRID2IP	DNAJB9
CHRNA4	CYP2D6	CLK2P1	C8orf44	GRIPAP1	DNAJC24
CHRND	CYP46A1	CLK3	C8orf58	GSK3A	DNAJC5B
CHRNG	CYP7B1	CLMN	C8orf82	GSPT1	DNAJC8
CHST12	CYSTM1	CLOCK	C8orf88	GSTCD	DNAJC9-AS1
CHST2	CYTH2	CLPS	C9orf116	GTDC1	DNAL1
CHTF18	CYTH3	CLPTM1L	C9orf129	GTF3C2-AS1	DNASE2B
CIAO1	CYTIP	CLSTN1	C9orf135	GTSF1	DNM3-IT1
CIAO2B	DAAM2	CLSTN3	C9orf16	GUSBP10	DNTT
CIAO3	DAB1	CLTRN	C9orf24	GVQW3	DNTTIP2
CIC	DAGLA	CLUL1	CA11	GZMK	DOCK7
CIDEB	DANT1	CMC2	CA14	H1F0	DPEP2NB
CIDEC	DAPK2	CMIP	CA3	H6PD	DPH3
CINP	DBET	CMKLR1	CA5BP1-CA5B	HCG11	DPM1
CITED2	DBH-AS1	CMTM4	CA7	HDAC2-AS2	DPP9-AS1
CITED4	DBIL5P	CMTM8	CA9	HDHD3	DPPA2
CKLF-CMTM1	DCC	CMTR1	CABCOCO1	HDLBP	DPRX
CLASP1	DCDC2C	CMTR2	CABLES1	HEATR1	DPY19L2P2
CLCA2	DCPS	CNBD1	CACFD1	HECTD3	DPYS
CLCN6	DCST1-AS1	CNN3	CACNA1F	HECTD4	DR1
CLCN7	DCSTAMP	CNNM1	CACNA2D4	HELQ	DRAM1
CLDN10	DCTN1	CNNM2	CACNG5	HERC2P4	DRD1
CLDN15	DDA1	CNOT11	CACUL1	HERC3	DSC1
CLDN19	DDX11-AS1	CNOT2	CACYBP	HERC5	DSCR10
CLDN4	DDX11L2	CNOT3	CADM2	HERC6	DSCR9
CLEC12A	DDX31	CNOT4	CADM3	HES1	DSE
CLEC12A-AS1	DECR2	CNOT6	CADM4	HES2	DSEL
CLEC19A	DEDD	CNOT6L	CALB2	HESX1	DSG3
CLEC1A	DEDD2	CNOT7	CALCA	HGSNAT	DUSP12
CLEC2D	DEFB118	CNOT8	CALCB	HHLA2	DUSP26
CLEC2L	DEFB134	CNRIP1	CALCRL	HIF1A	DUXA
CLEC4D	DEGS2	CNTD1	CALD1	HIF1A-AS2	DUXAP10
CLEC4E	DENND1C	CNTN1	CALHM3	HIST1H1T	DUXAP10.1
CLEC4GP1	DENND6A-DT	CNTN3	CALR	HIST1H2AA	DUXB
CLEC6A	DENND6B	CNTN4	CAMK1	HIST1H2AH	DYDC1
CLEC7A	DERL3	CNTN5	CAMK2N2	HIST1H2APS1	DYNC1I1
CLEC9A	DES	CNTN6	CAMKK1	HIST1H3A	DYNLL2
CLIC3	DET1	CNTNAP4	CAMKK2	HIST1H3G	DYNLT3
CLIC6	DGAT2	COA1	CAMKMT	HIST1H4B	E2F6
CLN3	DGCR2	COBLL1	CAMKV	HIST2H2BB	E4F1
CLN5	DGCR8	COG2	CAMTA1	HIST2H2BF	EAPP
CLNK	DGKG	COG5	CAND1.11	HMMR	EBLN3P
CLPB	DGUOK-AS1	COG6	CAP1	HMMR-AS1	ECEL1P2
CLPP	DHRS12	COL4A3	CAP2	HNF4A-AS1	ECT2L
CLPSL1	DHRS9	COL4A4	CAPG	HOOK1	EDARADD
CLTB	DHX33	COL6A4P2	CAPN1	HOOK3	EED
CLTC	DHX58	COL6A6	CAPN10-DT	HOTAIR	EEF1A2
CLVS2	DIDO1	COMMD1	CAPN5	HOXA1	EEF1AKMT2
CMTM6	DIO1	COMMD2	CAPN6	HOXA4	EFNB3
CMTM7	DIP2C	COPG2	CAPNS1	HOXA9	EGFLAM-AS4
CNBD2	DIRC3	COPRS	CAPSL	HOXC6	EHHADH
CNGA1	DISC1	COPS8	CAPZA2	HOXD1	EID3
CNGB1	DISC1FP1	COQ6	CAPZB	HOXD10	EIF1
CNNM3	DISP1	CPA1	CARD10	HPCA	EIF1AD
CNNM3-DT	DLEC1	CPA5	CARD11	HPS4	EIF1AX
CNNM4	DLEU1	CPEB1	CARD19	HRH2	EIF1B
CNOT1	DLG1-AS1	CPEB1-AS1	CARHSP1	HRH4	EIF2S1
CNR1	DLG3	CPEB3	CARM1	HTATSF1	EIF2S2
CNR2	DLGAP2	CPEB4	CARMIL2	HYPK	EIF3J
CNTFR	DLL3	CPED1	CARS	ICE2	EIF3J-DT
CNTNAP5	DMAC2L	CPLANE1	CARS2	IFNA22P	EIF4A3
COBL	DMRT1	CPLX4	CASC10	IFNB1	EIF4E
COG1	DMRTC2	CPNE4	CASC4	IFT140	EIF4G2
COG3	DMTN	CPS1	CASC6	IFT88	EIF5
COG7	DMWD	CPSF2	CASK	IGFL2	EIF5A2
COL11A2	DNAAF1	CR1L	CASKIN1	IGIP	ELAVL3
COL19A1	DNAAF3	CR2	CASP10	IGLL1	ELAVL4
COL21A1	DNAAF5	CREB3L3	CASP2	IGSF5	ELF2
COL27A1	DNAH10	CREB5	CASP3	IK	ELL2
COL4A1	DNAH17	CREBBP	CASQ1	IKZF4	ELL3
COL4A2	DNAH6	CRHBP	CAT	IL10RB-DT	ELMOD2
COL4A3BP	DNAH9	CRISPLD1	CATSPER4	IL12RB1	ELMOD3
COL9A3	DNAJA4	CRISPLD2	CAV1	IL13RA1	ELOA
COLEC12	DNAJB13	CRK	CAV2	IL17A	ELOC
COLGALT1	DNAJB2	CRKL	CAVIN1	IL17REL	ELOVL7
COLQ	DNAJB5-DT	CRLS1	CAVIN3	IL1RAP	ELSPBP1
COMMD3-BMI1	DNAJB6	CRMP1	CAVIN4	IL1RL1	EMC1-AS1
COMTD1	DNAJC14	CROT	CBLC	IL1RL2	EMC3-AS1
COQ8A	DNAJC17	CRPPA	CBR1	IL23A	EMC4
CORO1C	DNAJC18	CRPPA-AS1	CBR3	IL2RG	EML2-AS1
CORO6	DNAJC2	CRTAC1	CBS	IL33	EMX2
CORO7	DND1	CRTC1	CBSL	ILRUN	ENO1-AS1
COX10-AS1	DNLZ	CRY1	CBWD1	IMPA1P1	ENPP3
COX14	DNM1P35	CRYBG1	CBWD2	INCENP	ENPP7P13
COX4I1	DNM1P41	CRYBG3	CBWD6	ING3	ENTPD1-AS1
COX5B	DNM1P41.1	CRYM	CBX2	INO80D	EOMES
COX6A1	DNM1P46	CRYZ	CBX6	INPP5K	EPHA1-AS1
COX6B1	DNMBP	CS	CBX7	INSM2	EPHA10
CPN1	DNMBP-AS1	CSDE1	CBY3	INTS3	EPHA7
CPNE6	DNMT3A	CSF1R	CC2D2A	IPCEF1	EPHB3
CPOX	DOCK8	CSGALNACT1	CCDC107	IQCM	EPHX4
CPPED1	DOCK9-DT	CSGALNACT2	CCDC112	IQGAP1	EPM2AIP1
CPSF1	DOK2	CSMD2	CCDC115	IQGAP2	EPN2-IT1
CPSF4	DOK5	CSMD3	CCDC144NL-AS1	IQUB	EPOP
CPSF7	DPCD	CSNK1G1	CCDC151	IRAK4	EPS8L1
CPT1A	DPH6-DT	CSNK2A2	CCDC153	ISL2	ERLIN2
CRADD	DPP10	CSTF1	CCDC169	ISM1	ERMAP
CRB3	DPP10-AS1	CSTF2	CCDC169-SOHLH2	ISM2	ERV3-1
CREBL2	DPY19L1P2	CT69	CCDC172	ITCH	ERVK13-1
CREBZF	DPYSL5	CTAGE10P	CCDC18-AS1	ITGAV	ERVK3-1
CREG2	DSCAM-IT1	CTAGE11P	CCDC183-AS1	ITPR3	ESF1
CRHR1	DSCAML1	CTAGE9	CCDC184	IWS1	ESX1
CRHR2	DSCR4	CTBP1-DT	CCDC24	JAK2	ETDB
CRIP1	DSG2-AS1	CTBS	CCDC28B	KANSL1L	ETF1
CRIPAK	DSN1	CTCFL	CCDC51	KAT2A	ETFBKMT
CROCC2	DTNB	CTDP1	CCDC54	KAT6A	ETV3
CROCCP2	DTNBP1	CTDSPL	CCDC58	KBTBD8	EVA1B
CROCCP3	DUSP11	CTIF	CCDC68	KCNA2	EXOC3L1
CRYBA2	DUSP22	CTNNA3	CCDC69	KCNA7	EXOC8
CRYGD	DUSP28	CTNND1	CCDC71L	KCND2	EXOSC10-AS1
CRYGS	DUSP5	CTNND2	CCDC74A	KCTD20	EXOSC6
CRYM-AS1	DVL1	CTR9	CCDC74B	KCTD21-AS1	EYA3
CSF1	DYNC2LI1	CTRB2	CCDC8	KDM1A	EYS
CSF3	DYNLRB1	CTTNBP2NL	CCDC84	KDM7A	EZH2
CSF3R	DYNLRB2	CUL1	CCDC85B	KIAA0319	F10
CSKMT	DYRK3	CUL5	CCDC88B	KIAA0895	FAF2
CSN2	DYRK4	CUX1	CCDC90B	KIAA1107	FAM104B
CSNK1D	EAF2	CWC22	CCDC92B	KIAA1109	FAM110D
CSNK1G2	ECI2	CWC25	CCL26	KIAA1210	FAM117B
CSPG4	ECSCR	CXCL16	CCM2	KIDINS220	FAM122C
CST1	EDA	CXorf58	CCN1	KIF11	FAM126B
CST3	EDC3	CXorf67	CCN2	KIF12	FAM129B
CT75	EDRF1-AS1	CXXC4	CCN3	KIF1B	FAM133A
CTAG2	EDRF1-DT	CYB5D1	CCNB1IP1	KIF20B	FAM13B
CTD-2270F17.1	EEF1AKMT1	CYLD	CCNC	KIF21B	FAM153C
CTD-3080P12.3	EEF1DP3	CYMP-AS1	CCND1	KIF3B	FAM155A-IT1
CTDSP1	EEF1E1-BLOC1S5	CYP24A1	CCND2-AS1	KIF5A	FAM161B
CTH	EFCAB10	CYP26B1	CCNG1	KIF5B	FAM162B
CTHRC1	EFCAB12	CYP2C18	CCNJL	KIF5C	FAM166A
CTLA4	EFCAB5	CYP2T1P	CCS	KIFAP3	FAM177A1
CTSA	EFCAB8	CYP2U1	CCT2	KIRREL2	FAM178B
CTSB	EFCC1	CYP4B1	CCT3	KLF18	FAM185BP
CTSE	EFHB	CYP4V2	CCT4	KLHL6-AS1	FAM200A
CTSF	EFL1P1	CYTH4	CCT5	KLHL7-DT	FAM200B
CTSH	EFNB1	DAAM1	CCT6A	KLHL9	FAM205A
CTSL	EGFL6	DAB2IP	CCT7	KLK12	FAM214B
CTSLP8	EGLN1	DACT3-AS1	CCT8	KLK15	FAM218A
CTXN2	EHD1	DAND5	CD101	KLK7	FAM239B
CX3CL1	EID2	DANT2	CD151	KLRF2	FAM239B.1
CX3CR1	EIF1B-AS1	DAP	CD177	KMT2D	FAM241A
CXCR4	EIF4E1B	DAPP1	CD1C	KMT2E	FAM32A
CXCR5	EIPR1	DARS	CD1D	KNCN	FAM43A
CXCR6	ELFN2	DAW1	CD200	KNL1	FAM53C
CXorf65	ELK1	DAZAP2	CD24	KNOP1	FAM66A
CXXC1	ELK2AP	DAZL	CD247	KPNA3	FAM71F2
CYB561D2	ELOA-AS1	DBF4	CD248	KRBA1	FAM83A
CYB5R4	ELOVL2	DBH	CD27	KRT14	FAM83A-AS1
CYC1	ELP1	DCAF1	CD27-AS1	KRT17P1	FAM91A1
